1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
421125,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
421142;Enemy;Speed;ChangeTo;3,06
422781,9;Enemy;DeathBy;Gun
423146,7;Enemy;Speed;ChangeTo;3,09
423296,1;TextScore;ChangeTo;KIEPSKO
425134,4;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
425151,2;Enemy;Speed;ChangeTo;3,12
425797,6;Enemy;DeathBy;Gun
427156,1;Enemy;Speed;ChangeTo;3,15
428166,6;Enemy;DeathBy;Gun
429160,7;Enemy;Speed;ChangeTo;3,18
430130,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
430130,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
430946,3;Enemy;DeathBy;Gun
431128,1;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;3
431161,2;Enemy;Speed;ChangeTo;3,21
432126,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
432873,4;Player;Health;IncreaseTo;90
432873,4;Slider;Health;IncreaseTo;112
433172,2;Enemy;Speed;ChangeTo;3,24
435187,8;Enemy;Speed;ChangeTo;3,27
437131,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
437199,2;Enemy;Speed;ChangeTo;3,3
437714,8;Enemy;DeathBy;Gun
439128,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
439211,7;Enemy;Speed;ChangeTo;3,33
440473,8;Enemy;DeathBy;Gun
441221,6;Enemy;Speed;ChangeTo;3,36
442384,9;Enemy;DeathBy;Gun
443131,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
443131,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
