1,530633E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
512358,7;Enemy;Speed;ChangeTo;3,809999
514152,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
514152,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
514371,7;Enemy;Speed;ChangeTo;3,839999
516156,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
516371,7;Enemy;Speed;ChangeTo;3,869999
517150,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
518376;Enemy;Speed;ChangeTo;3,899999
519784,2;Slider;SuperPower;IncreaseTo;5,513802
519784,2;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
519784,2;Player;DamagePerShot;IncreaseTo;15
519784,2;Player;Range;IncreaseTo;100
520149,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
520149,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
520381,4;Enemy;Speed;ChangeTo;3,929999
522388,4;Enemy;Speed;ChangeTo;3,959999
523150,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
524393,5;Enemy;Speed;ChangeTo;3,989999
525156,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
525951,9;Player;Health;IncreaseTo;70
526144,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
526144,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;5
526398,3;Enemy;Speed;ChangeTo;4,019999
528140,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
528409,6;Enemy;Speed;ChangeTo;4,049999
529799,3;Slider;SuperPower;IncreaseTo;10,5138
529799,3;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
529799,3;Player;DamagePerShot;IncreaseTo;15
529799,3;Player;Range;IncreaseTo;100
530423,8;Enemy;Speed;ChangeTo;4,079999
530604,3;Player;SuperPower;Time;4,860718
530604,3;Slider;SuperPower;DecreaseTo;0,2928772
530604,3;Player;TimeBetweenTwoBullets;IncreaseTo;0,3
530604,3;Player;DamagePerShot;DecreaseTo;14
530604,3;Player;Range;DecreaseTo;90
530604,3;Player;SuperPower;Kill;17
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Enemy;DeathBy;SuperPower
530604,3;Player;SuperPower;Alpha;0,9721435
531133;TextScore;ChangeTo;WSPANIALE
532147,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
532147,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;5
532441,7;Enemy;Speed;ChangeTo;4,11
534141,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
534447,9;Enemy;Speed;ChangeTo;4,14
536145,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
536460,3;Enemy;Speed;ChangeTo;4,17
538146,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
538146,6;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;3
538461,4;Enemy;Speed;ChangeTo;4,2
539108,1;Enemy;DeathBy;Gun
539140,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
540470,9;Enemy;Speed;ChangeTo;4,23
540620,1;Slider;SuperPower;IncreaseTo;5,292877
540620,1;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
540620,1;Player;DamagePerShot;IncreaseTo;15
540620,1;Player;Range;IncreaseTo;100
542475,4;Enemy;Speed;ChangeTo;4,260001
542956,4;Player;Health;IncreaseTo;80
543154,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
544149,1;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
544149,1;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
544480,1;Enemy;Speed;ChangeTo;4,290001
546485,2;Enemy;Speed;ChangeTo;4,320001
548500,1;Enemy;Speed;ChangeTo;4,350001
549146,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
550113,6;Player;Health;DecreaseTo;60
550147,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
550147,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
550147,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;3
550511,2;Enemy;Speed;ChangeTo;4,380002
550627,2;Slider;SuperPower;IncreaseTo;10,29288
550627,2;Player;TimeBetweenTwoBullets;DecreaseTo;0,2
550627,2;Player;DamagePerShot;IncreaseTo;15
550627,2;Player;Range;IncreaseTo;100
552151,9;Enemy;0;RegularSpawn;AtSpawnPoint;0
552516,3;Enemy;Speed;ChangeTo;4,410002
552516,3;Player;Health;DecreaseTo;40
552516,3;Slider;Health;DecreaseTo;56
554522,2;Enemy;Speed;ChangeTo;4,440002
556141;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
556141;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
556209,8;Player;Health;DecreaseTo;20
556209,8;Slider;Health;DecreaseTo;28
556527,6;Enemy;Speed;ChangeTo;4,470002
556761,8;Player;Health;DecreaseTo;0
556761,8;Player;Death
559795,8;KeyPress;B
559829,9;Scene;Load;12
