1566489748694;UnixTime
0;Game;Introduction;CountDown;Text;ChangeTo;30s
26340;Joystick;Right;Horizontal;0;Vertical;0
26360;Joystick;Left;Horizontal;0;Vertical;0
26360;Joystick;Right;Horizontal;0;Vertical;0
26380;Joystick;Left;Horizontal;0;Vertical;0
26380;Joystick;Right;Horizontal;0;Vertical;0
26400;Joystick;Left;Horizontal;0;Vertical;0
26400;Joystick;Right;Horizontal;0;Vertical;0
26420;Joystick;Left;Horizontal;0;Vertical;0
26420;Joystick;Right;Horizontal;0;Vertical;0
26440;Joystick;Left;Horizontal;0;Vertical;0
26440;Joystick;Right;Horizontal;0;Vertical;0
26460;Joystick;Left;Horizontal;0;Vertical;0
26460;Joystick;Right;Horizontal;0;Vertical;0
26480;Joystick;Left;Horizontal;0;Vertical;0
26480;Joystick;Right;Horizontal;0;Vertical;0
26500;Joystick;Left;Horizontal;0;Vertical;0
26500;Joystick;Right;Horizontal;0;Vertical;0
26520;Joystick;Left;Horizontal;0;Vertical;0
26520;Joystick;Right;Horizontal;0;Vertical;0
26540;Joystick;Left;Horizontal;0;Vertical;0
26540;Joystick;Right;Horizontal;0;Vertical;0
26560;Joystick;Left;Horizontal;0;Vertical;0
26560;Joystick;Right;Horizontal;0;Vertical;0
26580;Joystick;Left;Horizontal;0;Vertical;0
26580;Joystick;Right;Horizontal;0;Vertical;0
26600;Joystick;Left;Horizontal;0;Vertical;0
26600;Joystick;Right;Horizontal;0;Vertical;0
26620;Joystick;Left;Horizontal;0;Vertical;0
26620;Joystick;Right;Horizontal;0;Vertical;0
26640;Joystick;Left;Horizontal;0;Vertical;0
26640;Joystick;Right;Horizontal;0;Vertical;0
26660;Joystick;Left;Horizontal;0;Vertical;0
26660;Joystick;Right;Horizontal;0;Vertical;0
26680;Joystick;Left;Horizontal;0;Vertical;0
26680;Joystick;Right;Horizontal;0;Vertical;0
26700;Joystick;Left;Horizontal;0;Vertical;0
26700;Joystick;Right;Horizontal;0;Vertical;0
26720;Joystick;Left;Horizontal;0;Vertical;0
26720;Joystick;Right;Horizontal;0;Vertical;0
26740;Joystick;Left;Horizontal;0;Vertical;0
26740;Joystick;Right;Horizontal;0;Vertical;0
26760;Joystick;Left;Horizontal;0;Vertical;0
26760;Joystick;Right;Horizontal;0;Vertical;0
26780;Joystick;Left;Horizontal;0;Vertical;0
26780;Joystick;Right;Horizontal;0;Vertical;0
26800;Joystick;Left;Horizontal;0;Vertical;0
26800;Joystick;Right;Horizontal;0;Vertical;0
26820;Joystick;Left;Horizontal;0;Vertical;0
26820;Joystick;Right;Horizontal;0;Vertical;0
26840;Joystick;Left;Horizontal;0;Vertical;0
26840;Joystick;Right;Horizontal;0;Vertical;0
26860;Joystick;Left;Horizontal;0;Vertical;0
26860;Joystick;Right;Horizontal;0;Vertical;0
26880;Joystick;Left;Horizontal;0;Vertical;0
26880;Joystick;Right;Horizontal;0;Vertical;0
26900;Joystick;Left;Horizontal;0;Vertical;0
26900;Joystick;Right;Horizontal;0;Vertical;0
26920;Joystick;Left;Horizontal;0;Vertical;0
26920;Joystick;Right;Horizontal;0;Vertical;0
26940;Joystick;Left;Horizontal;0;Vertical;0
26940;Joystick;Right;Horizontal;0;Vertical;0
26960;Joystick;Left;Horizontal;0;Vertical;0
26960;Joystick;Right;Horizontal;0;Vertical;0
26980;Joystick;Left;Horizontal;0;Vertical;0
26980;Joystick;Right;Horizontal;0;Vertical;0
27000;Joystick;Left;Horizontal;0;Vertical;0
27000;Joystick;Right;Horizontal;0;Vertical;0
27020;Joystick;Left;Horizontal;0;Vertical;0
27020;Joystick;Right;Horizontal;0;Vertical;0
27040;Joystick;Left;Horizontal;0;Vertical;0
27040;Joystick;Right;Horizontal;0;Vertical;0
27060;Joystick;Left;Horizontal;0;Vertical;0
27060;Joystick;Right;Horizontal;0;Vertical;0
27080;Joystick;Left;Horizontal;0;Vertical;0
27080;Joystick;Right;Horizontal;0;Vertical;0
27100;Joystick;Left;Horizontal;0;Vertical;0
27100;Joystick;Right;Horizontal;0;Vertical;0
27120;Joystick;Left;Horizontal;0;Vertical;0
27120;Joystick;Right;Horizontal;0;Vertical;0
27140;Joystick;Left;Horizontal;0;Vertical;0
27140;Joystick;Right;Horizontal;0;Vertical;0
27160;Joystick;Left;Horizontal;0;Vertical;0
27160;Joystick;Right;Horizontal;0;Vertical;0
27180;Joystick;Left;Horizontal;0;Vertical;0
27180;Joystick;Right;Horizontal;0;Vertical;0
27200;Joystick;Left;Horizontal;0;Vertical;0
27200;Joystick;Right;Horizontal;0;Vertical;0
27220;Joystick;Left;Horizontal;0;Vertical;0
27220;Joystick;Right;Horizontal;0;Vertical;0
27240;Joystick;Left;Horizontal;0;Vertical;0
27240;Joystick;Right;Horizontal;0;Vertical;0
27260;Joystick;Left;Horizontal;0;Vertical;0
27260;Joystick;Right;Horizontal;0;Vertical;0
27280;Joystick;Left;Horizontal;0;Vertical;0
27280;Joystick;Right;Horizontal;0;Vertical;0
27300;Joystick;Left;Horizontal;0;Vertical;0
27300;Joystick;Right;Horizontal;0;Vertical;0
27320;Joystick;Left;Horizontal;0;Vertical;0
27320;Joystick;Right;Horizontal;0;Vertical;0
27340;Joystick;Left;Horizontal;0;Vertical;0
27340;Joystick;Right;Horizontal;0;Vertical;0
27360;Joystick;Left;Horizontal;0;Vertical;0
27360;Joystick;Right;Horizontal;0;Vertical;0
27380;Joystick;Left;Horizontal;0;Vertical;0
